title, archive,volume_current(TB), volume_2028(TB), volume_growth(TB/yr), type, location, reference, contact, notes
ALMA,,1800,,,,,https://www.eso.org/sci/facilities/alma/news/announcements/alma-ann240226.html,,
ASKAP,,,,,,,,,
Argus,,,,,lightcurves,,https://arxiv.org/pdf/2207.14304,,4.3 PB per night raw?
CADC,,,,,,,,,
CDS,,,,,,,,,
DESI,NERSC & NOIRLab,80,?,?,,,https://www.desi.lbl.gov/2023/06/13/the-desi-early-data-release-in-now-available/,,
DKIST,,,,3000,pixel?,,https://ui.adsabs.harvard.edu/abs/2022tess.conf11904D/abstract,,
DSA-2000,,0,500,250,pixel pulsar?,,https://arxiv.org/pdf/1907.07648, , 
Decam,NOIRLab,,,,,,,,
ESDC,,941,,,,,https://www.cosmos.esa.int/web/esdc,,
ESO,,?,,160,,,https://www.eso.org/public/science/archive/,,Raw Data Value
EVRYSCOPE,,25,?,5,lightcurves,,https://iopscience.iop.org/article/10.1088/1538-3873/ab19d0/pdf,,As of 2019. 5x for raw data. Is it still running?
Euclid,ESDC,,,,,,,,
GAIA,ESDC - MAST,,,,,,,,
Gemini,,64,,,,,,,Raw Volume - does not store reduced data
HEASARC,,86,,,,,https://heasarc.gsfc.nasa.gov/docs/heasarc/datadist.html,,As of 2017
HST,ESDC - MAST,,,,,,,,
IPAC,,,,,,,,,
JWST,CADC - ESDC - MAST,,,,,,,,
Keck,IPAC?,,,,,,,,
LOFAR,,,,,,,,,
MAST,,4300,,,,,,,Raw Total
NOIRLab, ,2400, , 250,pixel,Tucson AZ USA, ,S. McManus,AtroDataArchive - 85% of data is decam
NRAO,,4500,6500,,raw,,,S. Witz,Raw data - 
PanSTARRS,MAST,,,,,,,,
Roman,MAST,,,,,,,,
Rubin/LSST,,0,40000?,18000,pixel catalog,SLAC,https://dmtn-135.lsst.io/v/2.0/index.html,,
SDSS,,600,,,,,https://www.sdss4.org/dr17/data_access/volume/,,
SKA,,,,,,,,,
TESS,MAST,,,,,,,,
ZTF,IPAC,,,1000,,,https://web.ipac.caltech.edu/staff/fmasci/ztf/masci_uw_04.05.pdf,,

